disease,home_remedy_1,home_remedy_2,home_remedy_3,home_remedy_4,home_remedy_5,effectiveness_rating,preparation_time_minutes,cost_level,safety_level
Mumps,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,8.6,48,Very Low,Very Safe
Constipation,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,5.0,24,Very Low,Very Safe
Anemia,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,,,9.5,56,Very Low,Consult Doctor
Dengue Fever,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,,5.7,19,Low,Very Safe
Bipolar Disorder,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,,,8.9,55,Low,Caution Required
Hypertension,Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",,3.2,24,High,Safe
Prostate Cancer,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",,,9.5,38,High,Safe
Heart Disease,Drink 2-3 cups green tea daily (catechins and antioxidants),"Include omega-3 rich foods: salmon, walnuts, flaxseeds daily",Practice 20 minutes deep breathing meditation daily,Include hawthorn berry tea (1 cup twice daily),Consume 2-3 cloves fresh garlic daily (allicin for heart health),9.4,8,Moderate,Caution Required
Glaucoma,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",6.4,23,High,Very Safe
Meniere Disease,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",8.5,31,High,Caution Required
Hepatitis A,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,5.3,39,Moderate,Safe
Colon Cancer,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,7.7,30,High,Consult Doctor
Hypothyroidism,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",,7.0,59,High,Caution Required
Typhoid,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),,,9.2,17,Very Low,Consult Doctor
Skin Cancer,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",7.9,29,Low,Caution Required
Back Pain,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",4.1,43,Low,Consult Doctor
UTI,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",4.2,26,Low,Safe
Constipation,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",6.1,11,High,Caution Required
Ulcerative Colitis,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,,8.8,45,Very Low,Consult Doctor
Skin Allergies,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,,4.6,13,Low,Caution Required
Salmonella,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,8.1,20,High,Very Safe
Vertigo,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",5.8,23,Moderate,Safe
Depression,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,,,9.0,39,Low,Consult Doctor
Peptic Ulcer,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,4.9,30,Low,Consult Doctor
Leukemia,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,,4.8,42,High,Caution Required
Food Poisoning,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),6.6,16,Very Low,Consult Doctor
Psoriasis,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",5.1,50,Low,Safe
Stroke,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,,,5.1,30,High,Caution Required
Skin Cancer,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,,,8.0,45,Low,Very Safe
PTSD,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,3.2,23,Low,Safe
Gallstones,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),6.6,57,Very Low,Caution Required
Chickenpox,Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",8.8,33,Moderate,Very Safe
Cluster Headache,Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),4.8,37,High,Caution Required
Iron Deficiency,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",3.8,25,Moderate,Safe
Dermatitis,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,,,3.7,42,Moderate,Caution Required
Vertigo,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,,8.8,36,Low,Safe
Skin Cancer,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,4.3,48,Low,Safe
Cataracts,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),,,7.6,41,High,Very Safe
Peptic Ulcer,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",,3.5,42,Very Low,Very Safe
Diabetes Type 2,Drink green tea without sugar 2-3 times daily,Drink bitter melon juice (100ml) on empty stomach daily,Take 1 tbsp apple cider vinegar in water before meals,"Consume chromium-rich foods: broccoli, whole grains, lean meats",Include fenugreek seeds (1 tsp soaked overnight) daily,3.5,22,Moderate,Very Safe
Hearing Loss,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,,,5.3,24,Very Low,Safe
Fibromyalgia,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",,5.2,60,Very Low,Consult Doctor
Leukemia,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),,,8.4,6,High,Very Safe
Cataracts,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,,8.3,47,Moderate,Caution Required
Gallstones,Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),,4.0,38,Moderate,Safe
Flu,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),,7.1,14,Very Low,Safe
Psoriasis,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",6.1,50,Low,Caution Required
Deep Vein Thrombosis,Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),,,8.9,54,Low,Very Safe
Skin Allergies,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,,,8.3,49,High,Safe
Heart Disease,Consume 1-2 tbsp olive oil daily (monounsaturated fats),Include hawthorn berry tea (1 cup twice daily),Take 200mg CoQ10 supplement with meals,,,9.0,13,Very Low,Consult Doctor
