disease,total_risk_score,risk_category,primary_risk_factors,modifiable_factors,genetic_predisposition,environmental_risk,age_adjusted_risk,gender_adjusted_risk,prevention_potential,age_score,gender_score,bmi_score,smoking_status_score,alcohol_consumption_score,physical_activity_score,family_history_score,blood_pressure_score,cholesterol_level_score,blood_sugar_level_score,stress_level_score,sleep_quality_score,diet_quality_score,environmental_factors_score
Skin Cancer,6.51,High,"Gender, Smoking Status, Environmental Factors","Stress, Diet",Moderate,Low,6.17,6.98,High,4.95,9.57,8.68,6.86,3.8,4.83,9.84,7.7,8.04,2.08,7.48,1.46,6.26,9.65
Fibromyalgia,4.93,Moderate,"Gender, Cholesterol Level, Environmental Factors","Smoking, Stress",Low,Moderate,6.86,6.4,Moderate,4.74,4.31,1.57,1.05,1.49,6.94,2.76,5.67,6.41,8.47,5.92,6.48,3.83,9.35
Chronic Kidney Disease,6.37,Moderate,"Stress Level, Smoking Status, Diet Quality","Stress, Sleep",Unknown,High,7.84,6.87,High,4.32,7.97,6.76,5.09,9.02,3.68,8.85,3.43,7.81,4.01,8.87,8.57,7.05,3.69
Lactose Intolerance,5.47,Moderate,"Stress Level, Alcohol Consumption, Gender","Smoking, Exercise",High,Low,8.06,5.88,Low,9.81,3.13,5.65,2.11,8.57,5.86,5.77,3.27,1.5,4.18,8.47,3.87,7.6,6.83
GERD,6.01,Moderate,"Age, Blood Pressure, Cholesterol Level","Smoking, Diet",Unknown,Low,5.24,6.83,Low,8.9,8.8,1.92,3.15,7.94,6.98,4.52,5.54,9.42,2.55,7.87,4.34,6.62,5.53
Glaucoma,5.11,Moderate,"Sleep Quality, Blood Pressure, Stress Level","Diet, Stress",Moderate,High,6.0,4.62,Moderate,4.46,7.92,8.65,1.57,1.02,7.17,7.34,6.15,1.26,6.28,7.18,2.89,4.82,4.82
Laryngitis,5.75,Moderate,"Sleep Quality, Smoking Status, Physical Activity","Smoking, Sleep",Moderate,High,7.79,6.09,Moderate,8.52,1.14,5.52,6.59,5.49,2.19,4.61,5.49,5.21,7.41,9.55,7.33,8.63,2.88
Dermatitis,5.05,Moderate,"Blood Pressure, BMI, Sleep Quality","Diet, Smoking",High,High,5.81,6.56,High,2.99,8.51,1.58,1.29,3.78,8.41,8.82,6.47,2.34,4.91,9.76,6.73,1.86,3.28
Chronic Kidney Disease,4.52,Moderate,"Alcohol Consumption, Stress Level, Cholesterol Level","Sleep, Stress",Moderate,High,4.06,5.34,Low,1.68,2.82,5.23,8.68,6.5,8.61,1.85,7.23,4.95,1.51,2.2,8.23,2.2,1.56
Tonsillitis,4.93,Moderate,"Smoking Status, Environmental Factors, Age","Sleep, Stress",Low,Moderate,4.16,5.21,High,4.0,3.23,2.02,1.33,8.67,2.7,5.95,3.9,4.5,9.87,1.57,8.2,8.83,4.24
Celiac Disease,6.48,Moderate,"Stress Level, Environmental Factors, Smoking Status","Sleep, Stress",Low,High,6.71,8.02,Low,8.91,2.78,5.65,1.43,6.57,9.76,7.01,6.8,4.51,9.75,7.5,1.36,9.71,8.99
Acid Reflux,6.49,Moderate,"Blood Sugar Level, Cholesterol Level, Family History","Sleep, Exercise",Unknown,Low,8.98,6.05,Moderate,8.49,6.79,8.89,3.77,7.98,8.04,3.81,3.89,4.74,2.9,6.94,7.51,9.97,7.15
Tuberculosis,5.79,Moderate,"Blood Sugar Level, Environmental Factors, Diet Quality","Sleep, Smoking",High,High,8.44,7.32,Moderate,6.52,6.66,5.56,6.39,3.21,3.7,7.84,4.56,3.3,5.62,9.32,9.53,6.14,2.72
Heart Disease,5.26,Moderate,"Physical Activity, Environmental Factors, BMI","Smoking, Diet",Unknown,Low,5.22,4.87,High,7.98,7.04,9.42,1.68,3.44,4.24,6.66,2.8,1.97,9.56,4.24,9.34,1.1,4.18
Vertigo,4.19,Moderate,"Environmental Factors, Blood Pressure, Sleep Quality","Diet, Exercise",Unknown,High,3.54,5.44,Low,4.73,3.08,2.59,5.17,4.83,1.13,3.81,7.5,9.3,1.2,7.19,1.07,2.06,5.04
Hepatitis C,6.56,High,"Family History, Blood Pressure, BMI","Smoking, Sleep",Unknown,High,6.27,6.73,High,6.38,9.97,6.62,3.31,6.12,5.23,3.72,9.19,4.86,9.65,9.55,3.05,5.39,8.77
Tension Headache,6.23,Moderate,"Cholesterol Level, Family History, Smoking Status","Diet, Exercise",Unknown,High,7.59,8.0,High,9.18,8.97,8.77,4.86,8.99,2.85,2.69,9.71,8.12,7.04,2.73,2.69,4.67,5.98
Flu,6.18,Moderate,"Family History, BMI, Cholesterol Level","Sleep, Exercise",Moderate,Moderate,7.13,6.66,High,5.31,6.32,1.89,9.92,2.12,1.24,8.84,4.71,5.7,9.96,7.89,9.09,6.04,7.47
Osteoarthritis,6.58,High,"Environmental Factors, Sleep Quality, Stress Level","Sleep, Smoking",High,High,8.22,6.99,Low,4.93,8.77,5.55,1.67,6.74,3.93,5.82,9.91,1.92,7.07,9.01,7.73,9.99,9.01
Acid Reflux,4.73,Moderate,"Blood Pressure, Smoking Status, Physical Activity","Exercise, Sleep",Unknown,High,6.14,5.49,Moderate,3.83,5.87,3.48,4.31,1.39,6.48,3.19,2.64,1.15,9.83,7.65,2.93,5.2,8.33
Tuberculosis,5.16,Moderate,"Blood Pressure, Age, Environmental Factors","Smoking, Stress",Low,Moderate,7.57,5.41,Moderate,1.05,6.36,1.14,9.37,7.34,6.1,5.6,7.65,3.46,9.11,7.27,1.5,5.3,1.03
Psoriasis,4.89,Moderate,"Blood Pressure, Cholesterol Level, Blood Sugar Level","Exercise, Sleep",Unknown,Moderate,4.77,6.27,Low,1.56,3.08,5.91,9.36,8.57,8.06,1.74,5.97,3.09,1.7,4.26,4.69,9.0,1.42
Hernia,5.24,Moderate,"Physical Activity, Sleep Quality, Stress Level","Exercise, Sleep",Moderate,Moderate,7.63,6.75,High,1.24,8.5,4.53,3.24,9.85,1.3,1.39,6.67,3.1,7.59,5.93,5.39,4.8,9.77
Ulcerative Colitis,5.85,Moderate,"Sleep Quality, Diet Quality, Stress Level","Sleep, Smoking",High,High,7.35,6.98,Low,4.88,9.96,7.78,9.41,3.24,5.0,8.48,5.38,2.41,3.54,3.68,6.24,2.77,9.15
Hearing Loss,5.95,Moderate,"Environmental Factors, Cholesterol Level, Stress Level","Stress, Smoking",High,High,5.0,5.57,Moderate,2.74,4.54,7.4,7.8,5.68,6.98,4.35,9.26,9.14,2.27,9.95,5.32,1.63,6.24
Epilepsy,5.27,Moderate,"Blood Sugar Level, Blood Pressure, Stress Level","Exercise, Stress",Moderate,High,5.9,4.81,Low,8.43,1.6,1.87,5.19,6.08,3.45,6.89,1.86,4.53,4.04,8.85,8.08,8.24,4.61
Schizophrenia,6.02,Moderate,"Environmental Factors, Blood Pressure, BMI","Smoking, Diet",High,Low,8.17,7.06,High,5.02,9.1,8.01,5.69,9.75,9.43,1.65,4.94,1.17,7.05,4.08,7.27,9.28,1.78
Bipolar Disorder,4.92,Moderate,"Stress Level, Diet Quality, Physical Activity","Diet, Sleep",High,Low,4.9,5.69,Moderate,7.43,1.44,7.49,1.64,4.71,5.94,4.69,3.4,5.0,5.65,9.46,3.32,1.77,6.91
Back Pain,6.09,Moderate,"Diet Quality, Sleep Quality, Smoking Status","Stress, Diet",Moderate,Low,9.05,6.88,Low,3.99,6.78,1.41,3.05,6.25,8.81,9.64,4.43,8.92,6.62,6.42,3.81,8.58,6.57
Anxiety Disorder,6.12,Moderate,"Cholesterol Level, Blood Pressure, Physical Activity","Sleep, Stress",High,Low,5.42,6.67,Low,1.7,1.63,8.55,9.96,9.98,6.92,3.63,9.5,6.71,8.33,3.52,2.58,6.13,6.52
Diabetes Type 2,6.36,Moderate,"Gender, Environmental Factors, Stress Level","Diet, Sleep",Unknown,Moderate,5.16,7.42,High,6.28,6.53,6.46,2.28,2.11,8.68,9.11,9.8,4.03,3.71,9.87,9.66,2.15,8.32
Heart Disease,6.76,High,"Stress Level, Physical Activity, Environmental Factors","Smoking, Stress",High,Moderate,7.75,8.68,High,4.83,8.88,8.98,6.49,5.91,3.83,9.07,8.98,9.8,4.03,4.08,8.12,3.81,7.88
Sleep Apnea,7.17,High,"BMI, Cholesterol Level, Age","Sleep, Diet",Moderate,High,9.53,8.96,Moderate,2.87,3.54,8.67,8.65,8.2,7.27,7.93,8.95,9.15,3.28,9.19,7.38,9.11,6.2
Crohns Disease,5.69,Moderate,"Smoking Status, Family History, Physical Activity","Smoking, Diet",Moderate,Moderate,6.51,6.41,Moderate,5.67,1.22,2.83,3.22,3.72,9.34,7.7,6.4,9.65,9.41,9.12,5.04,2.67,3.61
Back Pain,5.72,Moderate,"Blood Pressure, BMI, Cholesterol Level","Diet, Sleep",Low,Moderate,6.94,6.37,High,8.14,5.71,4.64,2.34,9.18,5.6,2.18,8.44,1.51,8.86,3.06,7.34,8.89,4.24
Laryngitis,5.52,Moderate,"Blood Pressure, Diet Quality, Blood Sugar Level","Exercise, Stress",High,Low,6.78,6.45,High,2.08,3.13,5.39,2.81,1.8,7.94,9.3,8.13,9.75,7.61,8.29,1.99,7.92,1.17
Endometriosis,5.52,Moderate,"Stress Level, Sleep Quality, Blood Pressure","Diet, Stress",Low,Low,8.16,6.18,Moderate,1.31,7.87,1.68,7.35,6.82,8.57,2.18,2.4,6.4,6.83,9.43,7.83,2.88,5.67
PCOS,5.64,Moderate,"Cholesterol Level, Diet Quality, Blood Pressure","Smoking, Stress",Moderate,High,5.27,6.93,Low,3.38,3.27,2.24,7.0,9.48,1.26,8.39,4.37,5.61,4.37,9.49,9.42,2.28,8.41
Kidney Stones,4.8,Moderate,"Environmental Factors, Gender, Cholesterol Level","Smoking, Stress",Low,Low,7.07,4.64,High,8.7,8.57,1.55,3.98,7.66,2.59,2.26,4.34,4.43,1.48,4.39,2.48,9.16,5.66
Gallstones,5.17,Moderate,"Family History, Environmental Factors, Blood Sugar Level","Smoking, Sleep",Low,Low,6.37,5.9,High,9.47,9.16,2.41,5.68,7.89,7.12,7.14,2.28,1.04,4.21,1.76,1.5,3.1,9.58
Laryngitis,4.69,Moderate,"Blood Sugar Level, Family History, Stress Level","Sleep, Stress",High,High,5.71,4.47,Moderate,3.35,6.25,2.84,2.57,5.87,2.13,1.38,3.4,9.4,4.41,5.44,8.11,7.82,2.72
Back Pain,5.42,Moderate,"BMI, Cholesterol Level, Smoking Status","Sleep, Stress",Low,Low,7.17,5.25,Low,4.03,3.43,1.83,2.0,4.2,7.81,6.77,9.15,9.22,1.41,7.08,7.5,7.12,4.26
Hepatitis B,4.46,Moderate,"Sleep Quality, Family History, Gender","Smoking, Diet",Low,Low,4.46,4.07,High,6.14,6.97,4.5,6.37,3.85,3.03,4.99,4.08,2.75,2.6,3.33,9.01,2.5,2.31
Arthritis,5.15,Moderate,"Sleep Quality, Gender, Blood Pressure","Sleep, Smoking",Moderate,High,5.8,5.97,Low,7.4,2.38,3.05,6.84,8.3,8.21,1.99,8.17,4.67,3.3,8.21,1.49,2.36,5.74
Appendicitis,4.87,Moderate,"Diet Quality, Cholesterol Level, Environmental Factors","Sleep, Exercise",Unknown,High,6.35,4.88,High,4.65,1.58,1.29,5.93,6.08,9.68,4.72,4.25,1.12,7.47,1.88,3.69,9.24,6.58
Eczema,4.78,Moderate,"Smoking Status, Cholesterol Level, Blood Pressure","Stress, Smoking",Low,High,3.87,6.13,Low,7.44,4.82,1.94,7.19,2.27,6.66,2.34,3.3,1.2,3.71,2.89,3.47,9.97,9.69
Depression,5.02,Moderate,"Gender, Blood Pressure, Physical Activity","Exercise, Smoking",Low,High,4.47,5.01,Low,8.5,3.99,4.35,7.46,4.38,5.62,1.38,8.56,3.32,6.98,9.63,1.18,2.19,2.72
Breast Cancer,5.79,Moderate,"Family History, Environmental Factors, Physical Activity","Sleep, Exercise",Low,High,5.61,6.17,High,4.48,3.31,3.56,6.79,9.53,1.59,8.19,9.84,8.78,3.78,8.9,7.67,1.7,2.88
Depression,5.06,Moderate,"Smoking Status, Physical Activity, Age","Exercise, Sleep",Moderate,Low,6.52,4.9,Moderate,6.81,7.41,6.87,4.09,3.36,6.36,2.53,6.99,3.95,7.12,2.79,5.3,2.91,4.41
Hearing Loss,5.29,Moderate,"Alcohol Consumption, Sleep Quality, Blood Sugar Level","Smoking, Stress",Unknown,Low,4.45,5.15,Moderate,2.78,4.21,7.18,6.4,2.6,2.81,1.59,3.74,6.67,4.56,9.41,4.46,9.52,8.18
Osteoarthritis,4.86,Moderate,"Stress Level, BMI, Smoking Status","Stress, Diet",Unknown,High,6.97,5.92,Moderate,4.52,5.17,8.1,1.13,4.58,4.0,3.42,5.41,5.08,5.22,9.51,8.25,1.31,2.39
Skin Cancer,6.67,High,"Family History, Sleep Quality, Age","Exercise, Smoking",Low,Moderate,7.32,6.6,Low,7.24,7.95,6.04,5.76,6.07,2.65,6.7,2.93,9.19,7.86,9.75,9.52,4.78,7.0
Fibromyalgia,5.91,Moderate,"Blood Pressure, Smoking Status, Sleep Quality","Sleep, Stress",Unknown,Low,7.89,5.38,Low,4.45,5.55,7.43,3.81,9.43,1.26,9.64,8.56,5.13,4.64,5.68,5.23,9.49,2.44
Pneumonia,4.99,Moderate,"Blood Sugar Level, Gender, Alcohol Consumption","Sleep, Stress",High,High,4.17,5.77,High,4.05,4.26,6.42,2.37,2.05,6.48,8.41,8.82,1.39,3.46,5.4,5.22,3.06,8.53
Pneumonia,5.23,Moderate,"Family History, Smoking Status, Gender","Exercise, Sleep",Low,High,7.05,4.95,Low,4.18,2.09,5.23,7.01,5.61,6.96,1.43,6.44,3.25,2.56,6.25,8.41,4.2,9.53
Sinusitis,4.39,Moderate,"Age, BMI, Blood Sugar Level","Exercise, Diet",Moderate,Moderate,5.1,4.62,Low,2.71,5.19,9.54,3.98,2.82,7.41,1.2,7.4,1.29,2.14,2.03,4.62,5.13,6.05
Glaucoma,5.67,Moderate,"Smoking Status, Cholesterol Level, Blood Pressure","Stress, Sleep",Unknown,Low,4.68,5.5,High,5.02,8.75,4.85,6.56,6.03,7.36,3.14,5.42,5.31,6.17,4.42,2.05,5.26,9.06
Tuberculosis,4.53,Moderate,"Environmental Factors, Family History, Age","Stress, Exercise",Moderate,Moderate,4.38,5.46,High,2.46,1.71,2.86,1.87,4.19,8.35,9.27,4.97,9.68,1.25,1.02,5.04,4.47,6.28
Deep Vein Thrombosis,5.98,Moderate,"Diet Quality, Blood Sugar Level, Family History","Stress, Diet",Low,High,5.61,5.62,High,6.74,1.57,3.9,6.54,4.95,7.86,8.91,3.55,5.87,4.57,7.75,5.16,9.67,6.64
Hepatitis B,5.26,Moderate,"Age, Physical Activity, BMI","Smoking, Exercise",Moderate,Low,5.14,4.84,Low,1.32,4.62,8.31,2.68,8.7,2.63,1.95,1.52,3.52,9.04,9.27,5.68,6.3,8.14
Lactose Intolerance,5.29,Moderate,"Stress Level, Smoking Status, BMI","Exercise, Smoking",Unknown,Low,7.31,6.45,Low,4.16,6.98,1.4,4.53,9.37,2.49,9.2,9.1,4.21,1.78,2.27,9.7,4.43,4.42
Osteoarthritis,5.3,Moderate,"BMI, Blood Sugar Level, Environmental Factors","Exercise, Diet",Moderate,High,7.55,5.71,Low,7.74,3.4,1.4,9.24,4.89,7.6,1.7,7.84,4.94,1.97,8.64,6.74,2.21,5.9
Chickenpox,4.97,Moderate,"Physical Activity, Alcohol Consumption, Diet Quality","Sleep, Smoking",Moderate,Moderate,5.39,6.04,Moderate,1.88,2.19,1.26,7.62,8.4,9.72,5.78,3.46,6.3,2.05,3.52,5.45,2.5,9.49
Dengue Fever,5.83,Moderate,"Sleep Quality, Environmental Factors, Cholesterol Level","Diet, Sleep",Low,Moderate,4.72,6.78,Moderate,1.17,6.68,5.74,5.66,7.89,2.67,9.3,7.27,3.7,3.39,7.11,8.14,7.5,5.45
Heart Disease,4.17,Moderate,"Diet Quality, Environmental Factors, Age","Smoking, Exercise",Moderate,Low,6.24,4.09,Low,3.96,7.2,6.86,3.04,5.79,8.36,1.31,5.53,3.1,3.0,3.73,2.29,2.27,2.0
Gastritis,4.69,Moderate,"Blood Sugar Level, Diet Quality, Physical Activity","Diet, Exercise",High,Moderate,5.01,5.64,Low,4.78,1.09,3.31,5.72,2.65,9.6,1.95,3.56,1.14,9.74,1.39,9.62,1.39,9.72
Hearing Loss,6.31,Moderate,"Sleep Quality, Physical Activity, Gender","Diet, Exercise",Unknown,Moderate,5.76,5.93,High,8.83,8.52,9.46,1.48,8.23,5.76,4.56,2.64,5.6,4.66,3.97,9.07,8.7,6.93
Parkinsons Disease,6.13,Moderate,"Cholesterol Level, Physical Activity, Diet Quality","Diet, Exercise",Moderate,Low,8.18,6.89,High,9.52,7.6,7.86,7.59,4.78,9.5,7.96,2.63,1.61,7.72,5.77,7.16,2.85,3.34
Bronchitis,5.17,Moderate,"Alcohol Consumption, Gender, Stress Level","Smoking, Diet",Unknown,High,5.78,6.45,Moderate,8.96,1.32,2.89,6.14,1.05,4.19,9.28,9.1,4.06,4.37,3.23,7.62,3.9,6.33
Sinusitis,5.18,Moderate,"Blood Pressure, Sleep Quality, Smoking Status","Exercise, Diet",Moderate,High,7.15,5.32,Moderate,7.45,6.85,6.33,1.26,5.43,4.26,3.61,3.46,7.0,6.7,6.89,5.63,3.96,3.66
Stroke,6.19,Moderate,"Alcohol Consumption, Stress Level, Blood Pressure","Exercise, Stress",Moderate,Low,6.03,7.01,Low,9.22,8.44,2.83,6.59,9.54,7.69,9.38,1.66,4.23,7.19,6.98,1.91,3.59,7.44
Bipolar Disorder,5.08,Moderate,"Family History, Gender, Alcohol Consumption","Sleep, Exercise",High,Moderate,6.62,5.19,High,6.57,2.73,5.59,1.46,6.07,6.32,1.57,7.2,5.78,2.72,7.3,3.96,6.86,6.92
Rheumatoid Arthritis,4.56,Moderate,"Smoking Status, Stress Level, BMI","Sleep, Exercise",Low,High,6.02,5.21,Low,8.04,7.73,3.92,2.89,1.84,4.13,3.39,5.48,4.9,1.63,7.55,3.84,1.8,6.69
Lung Cancer,4.85,Moderate,"Gender, Family History, Environmental Factors","Exercise, Stress",Low,High,4.07,5.13,Low,8.01,7.12,6.28,6.86,1.14,9.04,2.58,1.68,5.04,9.0,6.2,1.25,2.44,1.29
Peptic Ulcer,5.21,Moderate,"Diet Quality, Alcohol Consumption, Family History","Exercise, Sleep",High,Moderate,5.05,5.0,Moderate,5.0,1.03,8.19,3.05,2.64,7.16,4.3,3.48,9.87,1.63,8.25,5.93,3.48,8.89
PTSD,3.33,Low,"Blood Pressure, Age, Blood Sugar Level","Smoking, Stress",Moderate,Moderate,4.13,3.61,Moderate,2.26,3.05,3.22,1.02,1.15,9.87,8.65,2.08,2.19,1.27,3.48,2.58,4.08,1.78
Back Pain,6.09,Moderate,"Physical Activity, Age, Cholesterol Level","Diet, Stress",Moderate,Moderate,8.35,5.97,High,8.81,4.68,7.64,4.57,5.93,3.71,8.33,7.02,5.11,8.58,6.46,3.67,4.02,6.79
Ulcerative Colitis,5.01,Moderate,"BMI, Environmental Factors, Alcohol Consumption","Diet, Exercise",Moderate,High,5.2,4.56,Low,1.75,3.21,3.98,9.26,2.49,3.57,4.38,6.65,1.37,1.66,6.25,7.05,8.53,9.98
Hemorrhoids,5.38,Moderate,"Physical Activity, Stress Level, Blood Sugar Level","Exercise, Stress",High,High,5.39,5.86,Low,6.95,7.99,3.11,2.41,8.42,4.83,6.43,8.8,8.7,3.03,3.19,1.36,6.28,3.88
Diarrhea,5.81,Moderate,"Gender, Family History, Stress Level","Smoking, Diet",High,Low,4.74,6.2,High,2.9,2.45,3.93,5.1,9.3,9.74,4.93,5.53,3.91,6.05,7.09,8.47,3.54,8.33
Measles,4.97,Moderate,"Alcohol Consumption, Blood Sugar Level, Age","Diet, Smoking",Moderate,Low,4.18,5.66,Low,2.9,2.35,9.72,8.63,2.91,4.65,6.7,3.4,4.74,7.71,6.07,1.77,4.31,3.75
Alzheimers Disease,6.4,Moderate,"Diet Quality, Cholesterol Level, Gender","Exercise, Stress",Unknown,Moderate,5.94,6.87,High,8.1,9.18,6.64,9.75,9.66,4.26,2.81,8.26,3.69,5.79,4.78,1.21,7.91,7.58
Chronic Fatigue,5.17,Moderate,"Cholesterol Level, Environmental Factors, Gender","Diet, Smoking",High,Moderate,5.64,6.21,High,2.25,7.08,2.84,6.84,1.47,6.17,7.89,9.76,3.05,6.43,3.36,4.0,4.36,6.86
Cluster Headache,6.47,Moderate,"Family History, Gender, Environmental Factors","Sleep, Exercise",Unknown,High,8.29,6.13,Moderate,9.64,9.37,8.6,6.15,6.2,1.36,8.01,8.65,7.76,7.82,9.81,2.29,1.74,3.14
Stroke,4.25,Moderate,"Gender, Alcohol Consumption, Blood Sugar Level","Smoking, Stress",Low,High,3.63,5.22,Moderate,4.32,9.92,2.61,9.21,1.56,1.88,1.62,2.07,2.86,1.27,4.27,5.83,4.21,7.88
Epilepsy,6.41,Moderate,"Smoking Status, Blood Pressure, Gender","Sleep, Stress",Low,Moderate,7.89,5.89,High,6.24,5.19,5.78,6.22,3.38,9.1,5.69,7.15,6.61,3.87,9.76,9.55,2.97,8.17
Skin Cancer,5.35,Moderate,"Age, Smoking Status, Sleep Quality","Smoking, Diet",High,Moderate,7.5,6.57,High,6.27,8.67,2.73,1.09,8.97,6.17,2.48,4.87,1.16,3.05,6.41,7.9,7.92,7.27
Cluster Headache,4.83,Moderate,"Cholesterol Level, Family History, Sleep Quality","Sleep, Smoking",Unknown,Moderate,5.4,5.42,Low,7.24,1.93,4.03,5.47,6.41,4.71,1.59,9.19,1.35,9.34,4.15,1.42,8.85,1.9
Depression,5.26,Moderate,"Physical Activity, Blood Pressure, BMI","Sleep, Exercise",Moderate,Low,5.12,5.4,Low,4.57,2.77,7.92,9.45,1.32,8.51,5.3,7.76,2.72,2.55,1.3,5.4,6.63,7.46
Cataracts,5.04,Moderate,"Blood Sugar Level, Smoking Status, Gender","Sleep, Smoking",Low,High,5.53,4.77,High,8.12,1.84,8.25,1.01,4.13,4.2,4.03,9.36,8.66,4.26,6.67,2.37,2.17,5.48
Gout,6.06,Moderate,"Age, Blood Sugar Level, Family History","Smoking, Sleep",Moderate,High,6.62,6.85,Low,6.75,4.06,6.95,1.65,4.23,1.36,9.62,6.73,5.07,4.7,9.63,8.92,7.74,7.48
Schizophrenia,4.95,Moderate,"Alcohol Consumption, BMI, Cholesterol Level","Smoking, Stress",Moderate,Moderate,5.19,5.3,High,4.09,8.48,4.26,1.19,3.97,7.2,3.52,3.28,4.52,5.01,5.16,1.95,7.98,8.67
Tension Headache,5.42,Moderate,"Alcohol Consumption, Family History, Smoking Status","Diet, Stress",Moderate,Moderate,6.08,5.74,High,5.89,2.46,1.48,8.79,8.07,4.21,8.95,2.21,4.74,6.22,9.53,4.28,7.71,1.39
Bipolar Disorder,4.54,Moderate,"Physical Activity, Gender, Environmental Factors","Exercise, Sleep",Low,Moderate,5.39,4.4,Low,3.3,2.1,5.28,9.17,1.3,2.48,9.57,6.58,4.4,7.35,1.41,7.31,2.1,1.18
ADHD,5.64,Moderate,"Sleep Quality, Smoking Status, Alcohol Consumption","Diet, Sleep",Moderate,Moderate,8.33,7.13,Low,7.48,6.91,4.86,5.21,5.05,6.4,2.13,4.41,4.08,6.7,5.93,8.55,8.9,2.34
IBS,5.73,Moderate,"Gender, Physical Activity, Environmental Factors","Sleep, Exercise",Unknown,Moderate,6.93,6.48,Moderate,5.92,6.83,6.34,1.13,2.85,5.6,7.07,9.41,9.13,2.71,7.1,1.51,8.27,6.34
PCOS,5.03,Moderate,"Blood Sugar Level, Diet Quality, Sleep Quality","Smoking, Exercise",High,Moderate,5.86,6.07,High,4.45,1.49,3.33,4.24,2.05,9.9,6.12,2.97,7.99,5.25,6.95,6.9,6.37,2.42
Heart Attack,6.5,Moderate,"Cholesterol Level, Alcohol Consumption, Environmental Factors","Stress, Exercise",Unknown,High,8.76,7.59,High,7.37,6.12,9.85,7.82,4.16,9.8,9.82,5.48,9.86,2.69,8.21,6.09,1.88,1.82
Chickenpox,4.75,Moderate,"Blood Sugar Level, Blood Pressure, Cholesterol Level","Smoking, Sleep",Unknown,Low,5.34,4.65,Moderate,2.34,8.01,7.9,3.06,1.19,9.11,5.4,4.79,3.34,4.7,1.72,2.74,9.02,3.21
Rheumatoid Arthritis,3.69,Moderate,"BMI, Blood Sugar Level, Diet Quality","Exercise, Smoking",Low,Moderate,4.69,3.48,Low,2.65,5.16,1.53,1.06,7.3,2.01,1.01,1.43,1.73,4.94,3.13,6.13,6.79,6.79
Depression,6.15,Moderate,"Sleep Quality, Age, Cholesterol Level","Exercise, Diet",Low,Moderate,8.91,6.3,Moderate,3.57,4.39,8.38,10.0,4.77,7.37,1.43,2.36,7.12,8.01,7.45,8.7,2.61,9.91
Thyroid Disorder,5.81,Moderate,"Physical Activity, Blood Pressure, Family History","Stress, Sleep",Unknown,Moderate,8.03,7.3,High,1.63,2.59,9.57,1.26,7.06,3.5,8.92,10.0,6.72,9.8,3.51,6.52,6.38,3.86
Panic Disorder,5.51,Moderate,"Age, Alcohol Consumption, Diet Quality","Exercise, Sleep",High,Moderate,6.23,5.33,High,2.69,3.75,9.64,2.01,4.27,8.81,7.76,5.08,5.32,7.63,8.68,6.23,1.48,3.73
Depression,5.16,Moderate,"Blood Sugar Level, Physical Activity, Cholesterol Level","Stress, Sleep",High,Low,5.08,5.98,Low,8.65,8.37,7.7,3.16,3.33,4.16,2.86,6.14,9.8,4.56,2.72,2.06,3.91,4.77
Psoriasis,3.69,Moderate,"Stress Level, Blood Pressure, Alcohol Consumption","Stress, Sleep",High,High,4.37,4.33,Low,3.72,2.5,5.62,7.75,2.72,2.43,3.17,1.07,8.25,2.58,4.17,1.62,2.34,3.67
Schizophrenia,5.62,Moderate,"Smoking Status, Age, Physical Activity","Exercise, Stress",Moderate,Low,6.33,5.76,High,5.92,5.88,2.57,8.96,8.21,8.79,3.88,3.9,3.36,3.98,8.27,4.69,1.51,8.76
Osteoporosis,5.8,Moderate,"Environmental Factors, Stress Level, Smoking Status","Smoking, Diet",Low,High,7.46,6.55,High,9.54,7.64,3.87,3.74,2.84,7.52,7.98,9.75,7.62,2.24,4.96,3.11,5.58,4.79
Dengue Fever,5.78,Moderate,"Smoking Status, BMI, Diet Quality","Stress, Sleep",High,High,5.14,6.04,Low,6.06,6.39,9.02,7.08,8.0,2.13,9.8,6.31,1.95,3.16,9.07,1.76,8.62,1.6
Metabolic Syndrome,5.86,Moderate,"Alcohol Consumption, Sleep Quality, BMI","Stress, Diet",Moderate,Moderate,4.69,7.33,Low,4.77,5.66,4.25,5.98,7.87,2.11,9.29,5.02,3.43,5.78,7.64,3.71,8.17,8.34
Psoriasis,5.4,Moderate,"Cholesterol Level, Alcohol Consumption, Blood Sugar Level","Stress, Diet",Unknown,High,5.83,4.96,High,6.94,5.77,9.49,6.96,1.24,7.7,4.68,5.57,4.75,8.29,3.6,4.79,2.46,3.42
Lymphoma,5.27,Moderate,"Smoking Status, Physical Activity, Sleep Quality","Diet, Exercise",Moderate,Moderate,5.59,5.27,High,2.2,7.14,4.34,3.29,3.21,3.35,4.75,8.34,1.82,7.54,9.88,9.57,4.93,3.48
Lactose Intolerance,6.43,Moderate,"BMI, Gender, Smoking Status","Exercise, Smoking",High,Moderate,6.45,7.94,Low,9.53,9.72,9.83,1.02,9.89,2.08,6.71,7.29,6.02,9.12,5.85,1.05,5.65,6.28
ADHD,6.43,Moderate,"BMI, Age, Physical Activity","Stress, Sleep",Unknown,Moderate,6.79,8.35,Moderate,1.85,5.51,9.03,8.55,7.2,6.38,3.84,8.32,5.88,6.46,6.89,8.67,3.9,7.59
