drug_1,drug_2,interaction_severity,interaction_type,clinical_effect,mechanism,management,evidence_level,onset_time,age_considerations
Levothyroxine,Ibuprofen,Minor,Antagonistic,Slight efficacy reduction,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Adults only
Clonazepam,Cetirizine,Moderate,Antagonistic,Increased side effects,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),All ages
Atorvastatin,Lorazepam,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Elderly
Metformin,Lisinopril,Moderate,Pharmacodynamic,Increased side effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Adults only
Sertraline,Cetirizine,Major,Pharmacokinetic,Substantial efficacy loss,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),All ages
Hydrochlorothiazide,Losartan,Minor,Pharmacokinetic,Slight efficacy reduction,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Pediatric
Albuterol,Warfarin,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Pediatric
Furosemide,Albuterol,Major,Antagonistic,Dosage adjustment needed,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
Warfarin,Aspirin,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Elderly
Lorazepam,Lisinopril,Major,Pharmacokinetic,Dosage adjustment needed,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Adults only
Insulin,Acetaminophen,Minor,Antagonistic,Slight efficacy reduction,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Adults only
Levothyroxine,Hydrochlorothiazide,Moderate,Pharmacokinetic,Increased side effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Adults only
Levothyroxine,Sertraline,Major,Antagonistic,Substantial efficacy loss,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Elderly
Gabapentin,Warfarin,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Pediatric
Albuterol,Gabapentin,Minor,Pharmacokinetic,Mild side effect increase,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Elderly
Amoxicillin,Acetaminophen,Moderate,Pharmacodynamic,Increased side effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),All ages
Diphenhydramine,Hydrochlorothiazide,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),All ages
Sertraline,Warfarin,Minor,Pharmacodynamic,Slight efficacy reduction,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Pediatric
Lorazepam,Warfarin,Major,Antagonistic,Substantial efficacy loss,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Pediatric
Furosemide,Insulin,Major,Antagonistic,Significant adverse effects,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Elderly
Omeprazole,Montelukast,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Pediatric
Amoxicillin,Sertraline,Moderate,Pharmacokinetic,Reduced effectiveness,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Adults only
Furosemide,Sertraline,Major,Synergistic,Substantial efficacy loss,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Elderly
Gabapentin,Omeprazole,Minor,Synergistic,Mild side effect increase,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Pediatric
Acetaminophen,Levothyroxine,Moderate,Synergistic,Requires monitoring,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Pediatric
Montelukast,Tramadol,Major,Synergistic,Dosage adjustment needed,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Elderly
Sertraline,Lorazepam,Major,Antagonistic,Dosage adjustment needed,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Elderly
Tramadol,Sertraline,Minor,Antagonistic,Slight efficacy reduction,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Adults only
Diphenhydramine,Gabapentin,Severe,Pharmacodynamic,Contraindicated combination,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),All ages
Tramadol,Diphenhydramine,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Pediatric
Diphenhydramine,Gabapentin,Moderate,Synergistic,Reduced effectiveness,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Elderly
Hydrochlorothiazide,Lorazepam,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Adults only
Tramadol,Albuterol,Moderate,Synergistic,Reduced effectiveness,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Elderly
Albuterol,Metformin,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Elderly
Insulin,Aspirin,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),All ages
Tramadol,Montelukast,Major,Pharmacokinetic,Substantial efficacy loss,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Elderly
Warfarin,Metformin,Moderate,Pharmacodynamic,Requires monitoring,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Adults only
Albuterol,Prednisone,Major,Pharmacodynamic,Substantial efficacy loss,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),All ages
Acetaminophen,Ibuprofen,Moderate,Synergistic,Reduced effectiveness,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Adults only
Acetaminophen,Tramadol,Moderate,Antagonistic,Requires monitoring,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Elderly
Aspirin,Tramadol,Severe,Pharmacokinetic,Avoid concurrent use,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,All ages
Metformin,Prednisone,Minor,Pharmacokinetic,Mild side effect increase,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Pediatric
Cetirizine,Gabapentin,Moderate,Synergistic,Increased side effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Pediatric
Tramadol,Insulin,Moderate,Antagonistic,Reduced effectiveness,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Elderly
Gabapentin,Diphenhydramine,Moderate,Pharmacokinetic,Increased side effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Elderly
Amoxicillin,Hydrochlorothiazide,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),All ages
Omeprazole,Warfarin,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Elderly
Gabapentin,Lorazepam,Severe,Pharmacokinetic,Avoid concurrent use,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Adults only
Prednisone,Lisinopril,Minor,Synergistic,Mild side effect increase,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Pediatric
