disease,precaution_1,precaution_2,precaution_3,precaution_4,precaution_5,precaution_6,severity_level,urgency,follow_up_days
Iron Deficiency,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,,,Moderate,High,5
Alzheimers Disease,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Mild,Low,68
Cluster Headache,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Critical,High,44
Peptic Ulcer,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Critical,High,78
Hearing Loss,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,,,Mild,High,79
Measles,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,,Critical,Low,17
Food Poisoning,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,,,Moderate,High,6
Diarrhea,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Critical,High,34
Rheumatoid Arthritis,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,,Severe,High,11
PTSD,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,,,Mild,Emergency,23
Asthma,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,,Moderate,High,19
Anemia,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,,Mild,High,22
Panic Disorder,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,,,Mild,Medium,29
Appendicitis,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Severe,Low,20
Varicose Veins,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,,,Mild,Low,42
PCOS,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,,Critical,Low,48
Arthritis,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Moderate,High,26
Macular Degeneration,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,,,Mild,Emergency,15
Glaucoma,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,,Moderate,Low,81
Osteoarthritis,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Moderate,High,37
Panic Disorder,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,,Severe,High,24
Parkinsons Disease,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,,Mild,High,28
Diarrhea,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,,Critical,Low,27
Parkinsons Disease,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Mild,Low,46
Hepatitis C,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,,Mild,Low,61
Hypothyroidism,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Critical,Emergency,41
