disease,description,icd_10_code,category,contagious,duration_days,mortality_rate,prevalence_per_100k,age_group_risk,complications,last_updated
Prostate Cancer,Prostate Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J53.6,Respiratory,No,Chronic,12.678,2764,All ages,May lead to various complications if left untreated,2025-08-02
Eczema,Eczema is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B10.9,Neurological,Partially,Chronic,7.411,4560,Elderly,May lead to various complications if left untreated,2024-10-23
Glaucoma,Glaucoma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H61.5,Cardiovascular,Partially,14-30,9.565,3604,Elderly,May lead to various complications if left untreated,2025-01-18
Hearing Loss,Hearing Loss is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G96.8,Neurological,Partially,3-7,1.919,3730,Adults,May lead to various complications if left untreated,2024-10-27
Back Pain,Back Pain is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D84.3,Respiratory,Yes,3-7,11.451,2367,All ages,May lead to various complications if left untreated,2024-10-02
Celiac Disease,Celiac Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X67.1,Infectious,Partially,Chronic,12.121,1565,Elderly,May lead to various complications if left untreated,2025-03-01
Psoriasis,Psoriasis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D70.1,Cardiovascular,Partially,3-7,13.413,183,Children,May lead to various complications if left untreated,2025-04-28
Vertigo,Vertigo is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S53.8,Respiratory,No,7-14,3.087,245,All ages,May lead to various complications if left untreated,2024-11-29
Skin Cancer,Skin Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q42.1,Neurological,Partially,Chronic,10.153,2416,Children,May lead to various complications if left untreated,2025-05-03
Rheumatoid Arthritis,Rheumatoid Arthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R88.4,Respiratory,Yes,14-30,14.447,484,Adults,May lead to various complications if left untreated,2025-05-14
Flu,Flu is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D34.5,Infectious,Partially,7-14,13.238,507,Children,May lead to various complications if left untreated,2024-11-24
PCOS,PCOS is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V47.4,Infectious,No,3-7,2.111,4914,Adults,May lead to various complications if left untreated,2025-04-29
Celiac Disease,Celiac Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q60.5,Respiratory,Partially,7-14,6.648,3859,Children,May lead to various complications if left untreated,2025-04-25
Hemorrhoids,Hemorrhoids is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q30.2,Respiratory,No,3-7,11.444,4274,Elderly,May lead to various complications if left untreated,2024-10-18
Chronic Fatigue,Chronic Fatigue is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T62.6,Infectious,Yes,14-30,10.323,3637,Children,May lead to various complications if left untreated,2025-07-18
Gastritis,Gastritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y52.2,Endocrine,Yes,14-30,6.647,2512,All ages,May lead to various complications if left untreated,2025-03-31
GERD,GERD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V73.9,Neurological,Partially,3-7,4.064,4533,Children,May lead to various complications if left untreated,2025-03-20
Celiac Disease,Celiac Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G13.8,Infectious,No,14-30,4.303,1840,Adults,May lead to various complications if left untreated,2025-04-28
Back Pain,Back Pain is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W93.6,Cardiovascular,No,14-30,0.016,1575,Elderly,May lead to various complications if left untreated,2025-05-26
Depression,Depression is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W88.6,Endocrine,Partially,Chronic,11.321,2459,Adults,May lead to various complications if left untreated,2024-11-28
Rheumatoid Arthritis,Rheumatoid Arthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G97.9,Neurological,Partially,3-7,4.37,1747,Adults,May lead to various complications if left untreated,2025-02-01
Insomnia,Insomnia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X75.9,Endocrine,Yes,7-14,8.744,2552,Children,May lead to various complications if left untreated,2025-01-23
Hyperthyroidism,Hyperthyroidism is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S89.3,Cardiovascular,Partially,3-7,9.447,4177,Elderly,May lead to various complications if left untreated,2025-04-24
GERD,GERD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F52.7,Infectious,Partially,Chronic,2.444,3853,Adults,May lead to various complications if left untreated,2025-07-30
Bronchitis,Bronchitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W32.2,Neurological,Partially,7-14,4.775,1176,Children,May lead to various complications if left untreated,2024-10-04
Rheumatoid Arthritis,Rheumatoid Arthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y29.2,Respiratory,Partially,Chronic,9.224,1349,Children,May lead to various complications if left untreated,2025-06-25
PCOS,PCOS is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B77.2,Neurological,Partially,Chronic,1.287,4916,Adults,May lead to various complications if left untreated,2025-02-05
Typhoid,Typhoid is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B90.7,Neurological,Yes,3-7,9.444,4791,All ages,May lead to various complications if left untreated,2025-02-14
Varicose Veins,Varicose Veins is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R56.5,Infectious,Yes,Chronic,14.766,266,All ages,May lead to various complications if left untreated,2025-06-19
Lymphoma,Lymphoma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K38.1,Infectious,Yes,3-7,4.962,257,Adults,May lead to various complications if left untreated,2024-12-30
Psoriasis,Psoriasis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y58.7,Endocrine,No,7-14,6.812,3947,All ages,May lead to various complications if left untreated,2025-08-06
Macular Degeneration,Macular Degeneration is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D27.2,Infectious,Partially,Chronic,8.092,4380,Elderly,May lead to various complications if left untreated,2025-06-20
Heart Attack,Heart Attack is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O77.3,Infectious,Yes,7-14,9.58,1258,Adults,May lead to various complications if left untreated,2024-10-25
Back Pain,Back Pain is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M52.7,Respiratory,Partially,14-30,4.089,3513,Elderly,May lead to various complications if left untreated,2025-02-06
Epilepsy,Epilepsy is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J26.5,Endocrine,Partially,Chronic,8.338,4500,Adults,May lead to various complications if left untreated,2025-08-17
Pneumonia,Pneumonia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S37.0,Neurological,No,3-7,12.708,1881,Children,May lead to various complications if left untreated,2025-06-12
Eczema,Eczema is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G59.7,Cardiovascular,Yes,7-14,11.716,4314,Children,May lead to various complications if left untreated,2025-01-23
Skin Allergies,Skin Allergies is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E38.1,Respiratory,Yes,Chronic,9.418,612,Children,May lead to various complications if left untreated,2024-10-30
Varicose Veins,Varicose Veins is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q41.4,Respiratory,Yes,3-7,8.627,3318,Elderly,May lead to various complications if left untreated,2025-05-10
Depression,Depression is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z22.1,Infectious,Partially,3-7,3.301,3388,Children,May lead to various complications if left untreated,2025-02-10
UTI,UTI is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S14.1,Neurological,No,14-30,0.908,2476,All ages,May lead to various complications if left untreated,2024-11-02
